Freq (Hz),Ls,Rs,Status
20.00,-4.46644e-08,1.84923e-04,0
32.48,-1.64854e-07,6.47008e-05,0
52.73,8.00374e-08,1.23584e-04,0
85.63,3.58782e-07,3.06155e-05,0
139.04,1.25810e-07,9.65993e-05,0
225.77,1.04402e-07,8.98424e-05,0
366.60,1.14434e-07,1.01346e-04,0
595.27,1.65114e-07,1.42816e-04,0
966.59,1.25481e-07,1.51505e-04,0
1569.52,1.16442e-07,2.46865e-04,0
2548.55,1.12293e-07,2.99989e-04,0
4138.28,1.06018e-07,3.47542e-04,0
6719.64,1.04146e-07,4.81294e-04,0
10911.19,1.01731e-07,6.57247e-04,0
17717.34,1.00496e-07,8.75059e-04,0
28769.00,9.75136e-08,1.25461e-03,0
46714.43,9.59228e-08,1.76489e-03,0
75853.80,9.37860e-08,2.56390e-03,0
123169.64,9.20143e-08,3.40584e-03,0
200000.00,2.69825e-07,-5.17294e-04,0
